nutrient;min_value;max_value;points
dv_calories_%;0;800;0
dv_calories_%;800;1000;1
dv_calories_%;1000;1000000000;2
dv_total_fat_%;0;100;0
dv_total_fat_%;100;120;1
dv_total_fat_%;120;1000000000;2
dv_sugar_%;0;100;0
dv_sugar_%;100;120;1
dv_sugar_%;120;1000000000;2
dv_sodium_%;0;100;0
dv_sodium_%;100;120;1
dv_sodium_%;120;1000000000;2
dv_protein_%;100;1000000;0
dv_protein_%;80;100;1
dv_protein_%;0;80;2
dv_sat_fat_%;0;100;0
dv_sat_fat_%;100;120;1
dv_sat_fat_%;120;1000000000;2
dv_carbs_%;0;100;0
dv_carbs_%;100;120;1
dv_carbs_%;120;1000000000;2
